"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Drive Strength
1,PD0,,Available,In,,,,,,,
2,PD31,,Available,In,,,,,,,
4,PE0,,Available,In,,,,,,,
6,PE1,,Available,In,,,,,,,
7,PE2,,Available,In,,,,,,,
10,PE3,,Available,In,,,,,,,
11,PC0,,Available,In,,,,,,,
12,PC27,,Available,In,,,,,,,
13,PC26,,Available,In,,,,,,,
14,PC31,,Available,In,,,,,,,
15,PC30,,Available,In,,,,,,,
16,PC29,,Available,In,,,,,,,
17,PC12,,Available,In,,,,,,,
18,PC15,,Available,In,,,,,,,
19,PC13,LE_F3,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
20,PB1,F3V3_F3,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
21,PB0,SEL_F3,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
22,PA20,AMP_OUT3,AFEC0_AD9,n/a,n/a,No,Disabled,No,No,Disabled,Low
23,PA19,AMP_OUT2,AFEC0_AD8,n/a,n/a,No,Disabled,No,No,Disabled,Low
24,PA18,AMP_OUT1,AFEC0_AD7,n/a,n/a,No,Disabled,No,No,Disabled,Low
25,PA17,,Available,In,,,,,,,
26,PB2,,Available,In,,,,,,,
27,PE4,,Available,In,,,,,,,
28,PE5,,Available,In,,,,,,,
31,PB3,,Available,In,,,,,,,
32,PA21,,Available,In,,,,,,,
34,PD30,LE_F2,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
35,PA7,,PMC_XIN32,n/a,n/a,No,Disabled,No,No,Disabled,Low
36,PA8,,PMC_XOUT32,n/a,n/a,No,Disabled,No,No,Disabled,Low
37,PA22,F3V3_F2,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
38,PC1,F3_RB,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
39,PC2,F2_RB,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
40,PC3,F1_RB,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
41,PC4,,Available,In,,,,,,,
42,PA13,,Available,In,,,,,,,
45,PA16,SEL_F2,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
46,PA23,SEL_F1,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
47,PD27,LE_F1,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
48,PC7,F3V3_F1,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
49,PA15,,Available,In,,,,,,,
51,PA14,,Available,In,,,,,,,
52,PD25,NAND_D0,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
53,PD26,NAND_D1,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
54,PC6,NAND_D2,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
55,PD24,NAND_D3,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
56,PA24,NAND_D4,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
57,PD23,NAND_D5,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
58,PC5,NAND_D6,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
59,PA25,NAND_D7,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
60,PD22,,Available,In,,,,,,,
62,PA26,,Available,In,,,,,,,
